CUSTOMER_CDE,SNAPSHOT,SEGMENTATION,TOI_DP,TOI_LN,TOI_FEE,TOI_FX,TOI_TOTAL,ACTUAL_BAL_LCL_D0,AVG_AMT_LCL_D0,ACTUAL_BAL_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,ACTUAL_BAL_LCL_SAVING_D0,AVG_AMT_LCL_SAVING_D0,score
14115835,S9,MSME,155273.120748,0.0,1730700,0.0,1885973.120748,6921831.0,4730142.933334,6921831.0,4730142.933334,,,-42.807069
14097620,S9,SME,386987912.293304,70882191.780736,462867636,1139310744.04,2060048484.11404,3180558311.3,1286838071.65333,1677743375.3,993225132.086665,1502814936.0,293612939.566665,117.357057
21048035,S9,NONE,491022.346459,0.0,369000,0.0,860022.346459,83005267.0,42589573.066668,83005267.0,42589573.066668,,,-18.520297
21053678,S9,NONE,186011.999009,0.0,149000,0.0,335011.999009,11990000.0,399666.666667,11990000.0,399666.666667,,,-69.490558
21049949,S9,NONE,5742235.917306,0.0,178000,0.0,5920235.917306,1030004274.0,1030001890.2,30004274.0,30001890.2,1000000000.0,1000000000.0,50.30778
19210421,S9,SME,2145251.93669,139028327.676426,5243410,0.0,146416989.613116,1000306.0,4729040.933333,306.0,3729040.933333,1000000.0,1000000.0,-49.012386
20569339,S9,NONE,766638.93212,0.0,534000,0.0,1300638.93212,16951538.0,37891901.133334,16951538.0,37891901.133334,,,-16.038231
20565714,S9,NONE,28276.138367,0.0,3137915,0.0,3166191.138367,978401.0,1097872.6,978401.0,1097872.6,,,-95.569517
20577038,S9,NONE,846505.056514,0.0,29856550,22083612.8,52786667.856514,4230465.2,4505450.933333,4230465.2,4505450.933333,,,-10.562583
20562530,S9,MSME,945275.046416,0.0,894000,0.0,1839275.046416,21619105.0,93256994.566666,21619105.0,93256994.566666,,,-6.322867
20562192,S9,NONE,1246436.598315,0.0,1794000,0.0,3040436.598315,25675229.0,53052654.333334,25675229.0,53052654.333334,,,-4.046495
20888013,S9,NONE,284097.425392,0.0,612000,0.0,896097.425392,2328092.0,15433091.066667,2328092.0,15433091.066667,,,-47.004896
20888688,S9,NONE,12867.60005,0.0,596000,0.0,608867.60005,1336100.0,289073.333334,336100.0,89073.333334,1000000.0,200000.0,-112.414584
