A,B,C,D,LABEL
,35235780000.0,,1158230357.0,0
,,,1785355.0,0
,1845513368048.0,,626919727.0,0
,,,5255271.0,0
,630000000.0,,2075530.0,0
17.0,174718200.0,276832400.0,100082517.0,0
21.0,6307760311.0,10882827611.0,1352503.0,0
35.0,1386563076.0,1988498298.0,12038472.0,0
1.0,170000000.0,170000000.0,16336388.0,0
,6810350000.0,,505252037.0,0
,,,2212088.0,0
38.0,8746881005.0,26569218802.0,,0
,720000000.0,,35472230.0,0
2.0,28000000.0,80000000.0,951019.0,0
,163562871680.0,,481172.0,0
,64000000000.0,,438262052.0,0
,,,4956259.0,0
,,,99361.0,0
31.0,13675103.0,18429109.0,19421.0,0
146.0,315159181000.0,1764235496000.0,12009714.0,0
,76757152500.0,,200327647.0,0
3.0,6998400.0,39408408.0,2330544.0,0
8.0,195000000.0,195000000.0,569545.0,0
,,,5453163.0,0
,,,2089823.0,0
11.0,40084800.0,101809600.0,2078241.0,0
,740785526208.0,,844895492.0,0
,,,3633645.0,0
,275126980.0,,184433079.0,0
,,,3033997.0,0
,,,1583898433.0,0
219.0,27424912409.0,66434004892.0,8153494.0,0
,1287000000.0,,15393659.0,0
,3600000000.0,,3645321.0,0
,560000000.0,,5120.0,0
,532454751400.0,,2855544.3,0
,,,91803.0,0
1793.0,788820328412.0,1181231281056.0,264521714.0,0
26.0,2080012497.0,3655345020.0,18255036.0,0
110.0,11100261278.0,15976891275.0,38095143.0,0
,19299456000.0,,263207797.2,0
26.0,2473192600.0,4658340480.0,338095230.0,0
1.0,2610570.0,2610570.0,,0
13.0,2140105000.0,2792105000.0,,0
,,,,0
19.0,886035832.0,908261970.0,1979603.0,0
8.0,371795358.0,372308797.0,7797.0,0
9.0,3017902904.0,3026372621.0,9236678.0,0
,,,930155.0,0
,,,0.0,0
202.0,2216871207.0,4013951452.0,1100000.0,0
19.0,715107110.0,1426600631.0,,0
,12133237720.0,,,0
,533936191894.0,,3176533277.0,0
,692137431964.0,,,0
7.0,272475248.0,272475248.0,135079255.0,0
25.0,2998188080.0,4946388080.0,22623225.0,0
,,,6365.0,0
,910000000.0,,41380815.0,0
6.0,,634309940.0,,0
184.0,14447315723.0,26295656965.0,424666466.7,0
150.0,10451164791.0,21487179588.0,5061644335.0,0
,35653355700.0,,514748271.6,0
,5364000000.0,,15707117.0,0
,10500000000.0,,22199506.0,0
,61050000000.0,,357135.0,0
,,,449877716.0,0
,,,2590557.0,0
159.0,3196503463.0,5265747337.0,18611403.0,0
,70272918000.0,,36996726.0,0
,,,52316.0,0
306.0,22934760161.0,40505849357.0,1945336790.7,0
111.0,13304061185.0,18865495762.0,178063614.0,0
7.0,111494611.0,182263443.0,11126321.0,0
,2630025734292.0,,665588564.0,0
,1040000000.0,,97916901.0,0
,,,,0
,,,8580585.0,0
,,,2745478234.0,0
,28000000000.0,,705268577.0,0
53.0,3320433558.0,6419806239.0,10267864.0,0
,10000000.0,,20366618.0,0
5.0,155000000.0,155000000.0,555556.0,0
,4458941580.0,,,0
,,,1702750.0,0
,6876000000.0,,82637330.0,0
,1674123789.0,,,0
,,,410673.0,0
,,,141565.0,0
2.0,,7500000.0,88875.0,0
,,,129857.0,0
,,,20200295.0,0
,,,1948728.0,0
,1819975454577.0,,1131550985.0,0
,,,1121753.0,0
,,,8821931.0,0
,,,36605199.0,0
,,,137412546.0,0
,90881714603.0,,1540420341.0,0
,10620000000.0,,81243349.0,0
,5236000000.0,,76796.0,0
,,,376611950.0,0
,4107901160.0,,333465882.0,0
1.0,28000000.0,28000000.0,12731638.0,0
12.0,1182000000.0,1972000000.0,47932468.0,0
,,,69079.0,0
,231000000.0,,4622802.0,0
,,,28918387.0,0
,,,1002719.0,0
9.0,617100000.0,820665000.0,1230086.0,0
,,,22241996.0,0
93.0,11576099839.0,24743108221.0,6691686091.0,0
,,,679934.0,0
,,,117167494.0,0
,172202762523.0,,130151163.0,0
,,,341684587.0,0
,,,4529078.0,0
,1500000000.0,,2058398.0,0
,31862681172.0,,818876946.0,0
,6803842500.0,,1868243.0,0
,13319025272.0,,5891906.0,0
,,,25179542.0,0
,15951250.0,,10688044.0,0
,,,13925533.0,0
,,,133727.0,0
9.0,909710549.0,1233427314.0,135586467.0,0
,,,2444043.0,0
,948849075168.0,,,0
2.0,,852000000.0,417785.0,0
16.0,26596768814.0,37732805784.0,46812497.0,0
1.0,7760400000.0,7760400000.0,1000000.0,0
,,,4979673.0,0
39.0,26569942950.0,54662806270.0,,0
27.0,4639866778.0,8771866557.0,16733359.0,0
,,,,0
,2850000000.0,,174094339.0,0
7.0,77238968.0,77238968.0,289775.0,0
,,,17441.0,0
242.0,4827783459.0,11173756802.0,273546168.0,0
4.0,91000000.0,169000000.0,4733623.0,0
,,,0.0,0
,127520719680.0,,,0
19.0,2736302000.0,3601024000.0,7454072.0,0
256.0,13162245553.0,34014325119.0,3684211.0,0
,326565000000.0,,610414368.0,1
6.0,9781346575.0,22781346575.0,985993.0,0
1.0,84000000.0,84000000.0,510000.0,0
16.0,1733598017331.0,1733598017331.0,36628178.0,0
,108521921250.0,,4458238.0,0
,27500000000.0,,3365113936.0,0
,,,61723.0,0
10.0,599300000.0,708300000.0,1053468.0,0
,,,5508884.0,0
,2247804906.0,,177680.6,0
354.0,22105760730.0,44514556376.0,,0
,,,3283297.0,0
38.0,110434222.0,144528718.0,,0
22.0,43547349.0,457772438.0,22356.0,0
11.0,3948548786.0,7897899689.0,103594.0,0
23.0,1374522500.0,3344345300.0,30455647.0,0
,3700000000.0,,8525404.0,0
2584.0,122766040056.0,338375360858.0,1124080691.0,0
12.0,425409820.0,643785494.0,397225393.0,0
,8050231000.0,,349010846.0,0
,,,609976104.0,0
,,,,0
12.0,63340084986.0,121124183741.0,106198466.0,0
,,,1193850.0,0
,,,111242032.0,0
,,,106421.0,0
,,,308742045.0,0
,,,3096522.0,0
54.0,1026540326.0,1330708389.0,56414701.0,0
,63504501093.0,,,0
,39316946427.0,,708499.0,0
,,,45781149.0,0
,,,5201361.0,0
,4175011207.0,,9759998.0,0
,,,129399.0,0
,,,44812196.0,0
,68708227748.0,,11436205.0,0
,154370162712.0,,1832799.0,0
,,,862715.0,0
,,,861099380.0,0
113.0,12532289440.0,21804599790.0,11583001311.0,0
15.0,265844177.0,1481134677.0,29497688.0,0
4.0,133180000.0,133180000.0,903176.0,0
,1753257549.0,,8753115.0,0
,,,,0
,,,643901.0,0
,16500000.0,,2640684.0,0
4.0,218000000.0,728000000.0,3274772.0,0
,,,22785476.0,0
,,,32767221.0,0
,412776000.0,,2173684.0,0
26.0,2207796811.0,3820564950.0,2082116.0,0
,,,3942695.0,0
9.0,560500000.0,600500000.0,76847495.0,0
,28000000000.0,,273481618.0,0
10.0,436297440.0,578262266.0,8348758.0,0
,707000000.0,,1378303.0,0
3.0,16790000.0,16790000.0,,0
,50471304650.0,,10392072.0,0
1.0,,230000000.0,72245847.0,0
57.0,11121494844.0,40614344697.0,51033720.0,0
,79456258592.0,,24514382.0,0
,380132382.0,,,0
,1010959200000.0,,102313605.0,0
,,,65604408.0,0
,12918000000.0,,486926.0,0
,,,6634.0,0
53.0,63210072350.0,336701492350.0,893108.0,0
,1540000000.0,,9238679.0,0
,,,52801803.0,0
1.0,5000000000.0,5000000000.0,1648620.0,0
,,,12495545.0,0
,,,465784999.0,0
,73576076000.0,,355859482.0,0
8.0,173450000.0,311347200.0,22372495.0,0
,286280288.0,,40926499.0,0
10.0,,414508926.0,,0
,,,5575.0,0
,,,15540989.0,0
,162300000000.0,,20582625.0,0
58.0,2336462886.0,3689754030.0,18126.0,0
,28315017560.0,,55641362.3,0
,,,5018438.0,0
,,,6300.0,0
,,,219924614.0,0
21.0,1050460000.0,2057560000.0,562376004.0,0
9.0,63279095.0,604979695.0,5852039.0,0
,,,419239.0,0
17.0,437529379.0,2123814521.0,27246475.0,0
,2701890000.0,,5974068.0,0
,,,189171818.0,0
18.0,22453186072.0,22453186072.0,7263440.0,0
,,,2152000.0,0
46.0,3874579060.0,12331914917.0,0.0,0
,,,,0
,4211844000.0,,139331881.2,0
,98113548000.0,,53884126.0,0
,,,720955500.0,0
,,,,0
1.0,15000000.0,15000000.0,16540803.0,0
11.0,7309650143.0,8791474834.0,414505.0,0
,763801846.0,,,0
,,,293793785.0,0
,4980000000.0,,11374014.0,0
,,,8989949.0,0
,,,1677369.0,0
,34960051300.0,,2271838.0,0
8.0,4262387920.0,4262387920.0,83743876.0,0
,,,178761511.0,0
6.0,,8966243.0,,0
,,,38399634.0,0
,214781474874.0,,238565680.0,0
,3060000000.0,,151445030.1,0
,,,1049765.0,0
7.0,290000000.0,1707960000.0,7516289.0,0
,61111553552.0,,20575985.0,0
9.0,44896779319.0,63836779319.0,61794294.0,0
,121361650200.0,,488130864.0,0
8.0,7959296.0,22038944.0,454646.0,0
2.0,41990400.0,63990400.0,8385033.0,0
,487194525062.0,,1926168661.0,0
1.0,,3500000.0,22752.0,0
37.0,46423798.0,82290413.0,2505724.0,0
,3612587326.0,,,0
10.0,7200168.0,607703461.0,,0
,,,0.0,0
18.0,2011931689.0,4271695353.0,11370.0,0
,,,1159521545.0,0
92.0,11845651524.0,47099564139.0,,0
,73260000000.0,,150463996.0,0
,26915180972822.0,,,0
33.0,1107011852.0,3915651852.0,40503208.0,0
39.0,167199707.0,229551484.0,0.0,0
,,,468640.0,0
9.0,137324662.0,137324662.0,74275.0,0
17.0,201381000.0,308250000.0,122489.0,0
92.0,361512506.0,1182486203.0,347029468.0,0
,6679224300.0,,16666625.5,0
8.0,1012063540.0,2109063540.0,1206574.0,0
,4717121583480.0,,429681445.0,0
,,,1110356.0,0
,,,70031507.0,0
,5380637440.0,,1223849.0,0
16.0,2903867123.0,8182719956.0,15499562.0,0
,6814102683056.0,,840762991.0,0
1.0,,350000.0,27731165.0,0
166.0,1274111745.0,2213993650.0,169188860.0,0
,,,,0
,,,,0
8.0,42579587.0,86018485.0,1547533.0,0
,39263342075035.0,,99126209.0,0
42.0,957243805.0,1207448875.0,401021128.0,0
,,,737503.0,0
,,,,0
,13990614600.0,,176635450.0,0
29.0,1549059145.0,3107478601.0,,0
4.0,450000000.0,677700000.0,52233248.0,0
,376389332040.0,,,0
206.0,25162876576.0,74833367923.0,,0
63.0,6629164038.0,8392514881.0,328113.0,0
,17749760000.0,,216291382.0,0
,164000000.0,,75483.0,0
,,,112278015.0,0
2.0,,47575733.0,,0
,,,69871.0,0
,,,2055381.0,0
,,,1275001.0,0
,505525.0,,746479110.0,0
6.0,11543846.0,16856553.0,9109072.0,0
,967631542644.0,,6818357837.2,0
36.0,4714680900.0,5872366684.0,476397802.0,0
,,,1506068.0,0
,34598715826.0,,1690713.0,0
,227051363000.0,,324922562.0,0
,20647911.0,,,0
,,,,0
137.0,66015430228.0,153511603805.0,433745921.0,0
,,,75794.0,0
,1437947651.0,,,0
,350000000.0,,627827253.4,0
,,,1298462.0,0
80.0,21072079354.0,32205289418.0,37488126.0,0
,,,1025615.0,0
,,,1045126.0,0
,,,10656950.0,0
,277300000000.0,,545436768.0,0
,14691460000.0,,1440275.0,0
,37800000000.0,,3939976.0,0
,,,695808.0,0
,,,1698974.0,0
