Label name,Feature type,Feature name,Column name,Bin,Number customer,Contribution,Conversion rate,Event_cnt,Non_event_cnt,Dist_event,Dist_non_event,ChiSquare,P_value,CramerV,CramerV_remark,WOE,IV,score
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(22045455.0, 31325891.0]",464,6.625732,0.635776,295,169,6.923257,6.163384,540.046601,0.0,0.277699,Medium,0.11626,0.000883,0.066348
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(31325891.0, 56548342.0]",680,9.710124,0.657353,447,233,10.490495,8.497447,540.046601,0.0,0.277699,Medium,0.210704,0.004199,0.315389
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(56548342.0, 180401568.0]",1046,14.936456,0.73327,767,279,18.000469,10.175055,540.046601,0.0,0.277699,Medium,0.570459,0.044641,3.352648
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(180401568.0, 467085088.0]",450,6.425818,0.824444,371,79,8.706876,2.881109,540.046601,0.0,0.277699,Medium,1.105938,0.064429,4.838829
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(467085088.0, inf]",352,5.026417,0.903409,318,34,7.463037,1.239971,540.046601,0.0,0.277699,Medium,1.794875,0.111696,8.388705
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(-inf, 158232.094]",5821,6.932155,0.001031,6,5815,0.021763,10.310101,18039.285885,0.0,0.463495,Good,-6.160678,0.633831,-16.403606
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(158232.094, 928261.469]",9221,10.981172,0.024509,226,8995,0.819732,15.948299,18039.285885,0.0,0.463495,Good,-2.96813,0.449036,-11.621077
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(928261.469, 1146470.062]",4199,5.000536,0.038581,162,4037,0.587595,7.157675,18039.285885,0.0,0.463495,Good,-2.499902,0.164246,-4.250688
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(1146470.062, 1533504.25]",5926,7.057198,0.08353,495,5431,1.79543,9.629262,18039.285885,0.0,0.463495,Good,-1.679562,0.131574,-3.405147
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(1533504.25, 2323382.875]",7724,9.198414,0.193941,1498,6226,5.433442,11.038811,18039.285885,0.0,0.463495,Good,-0.708845,0.039733,-1.028302
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(2323382.875, 2984147.0]",4252,5.063653,0.323377,1375,2877,4.987305,5.100973,18039.285885,0.0,0.463495,Good,-0.022536,2.6e-05,-0.000663
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(2984147.0, 4019723.0]",4556,5.425683,0.407375,1856,2700,6.731955,4.787149,18039.285885,0.0,0.463495,Good,0.340931,0.00663,0.171596
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(4019723.0, 6693147.0]",6895,8.211168,0.490645,3383,3512,12.270584,6.22684,18039.285885,0.0,0.463495,Good,0.678336,0.040997,1.061003
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(6693147.0, 321617200.0]",31155,37.102095,0.507559,15813,15342,57.355822,27.201645,18039.285885,0.0,0.463495,Good,0.745997,0.224949,5.821703
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,"(321617200.0, inf]",4220,5.025545,0.653081,2756,1464,9.996373,2.595699,18039.285885,0.0,0.463495,Good,1.348367,0.099788,2.582527
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_TOTAL,TOI_TOTAL,Special 0,2,0.002382,0.0,0,2,0.0,0.003546,18039.285885,0.0,0.463495,Good,-3.568416,0.000123,-0.003182
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,Missing,39,0.046445,0.102564,4,35,0.014509,0.062056,38655.295437,0.0,0.678484,Strong,-1.453295,0.000691,-0.017732
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(-inf, 1533959.0]",23148,27.56666,0.038837,899,22249,3.260791,39.447882,38655.295437,0.0,0.678484,Strong,-2.493011,0.902148,-23.150298
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(1533959.0, 3313217.0]",8157,9.714068,0.07135,582,7575,2.11099,13.430613,38655.295437,0.0,0.678484,Strong,-1.85038,0.209456,-5.374914
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(3313217.0, 7209136.0]",6885,8.199259,0.106899,736,6149,2.669568,10.902289,38655.295437,0.0,0.678484,Strong,-1.407056,0.115839,-2.97258
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(7209136.0, 14886191.0]",6025,7.175096,0.157012,946,5079,3.431266,9.005159,38655.295437,0.0,0.678484,Strong,-0.964868,0.053781,-1.380084
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(14886191.0, 30973753.0]",6338,7.547844,0.224992,1426,4912,5.172289,8.709065,38655.295437,0.0,0.678484,Strong,-0.521049,0.018428,-0.472895
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(30973753.0, 49209458.0]",4238,5.046981,0.32067,1359,2879,4.929271,5.104519,38655.295437,0.0,0.678484,Strong,-0.034935,6.1e-05,-0.001571
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(49209458.0, 79479544.0]",4596,5.473318,0.549608,2526,2070,9.162133,3.670148,38655.295437,0.0,0.678484,Strong,0.914847,0.050243,1.289308
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(79479544.0, 133960280.0]",4983,5.934192,0.659643,3287,1696,11.922379,3.007039,38655.295437,0.0,0.678484,Strong,1.377461,0.122805,3.151346
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(133960280.0, 318133248.0]",7121,8.480309,0.763236,5435,1686,19.713457,2.989309,38655.295437,0.0,0.678484,Strong,1.886259,0.315461,8.095136
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,"(318133248.0, inf]",12193,14.520489,0.850078,10365,1828,37.595212,3.241077,38655.295437,0.0,0.678484,Strong,2.450971,0.84201,21.607074
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_D0,ACTUAL_BAL_LCL_D0,Special 0,248,0.29534,0.020161,5,243,0.018136,0.430843,38655.295437,0.0,0.678484,Strong,-3.167865,0.013074,-0.335497
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,Missing,39,0.046445,0.102564,4,35,0.014509,0.062056,40740.76801,0.0,0.696546,Strong,-1.453295,0.000691,-0.015027
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(-inf, 1731633.25]",17458,20.790511,0.012659,221,17237,0.801596,30.561515,40740.76801,0.0,0.696546,Strong,-3.640892,1.083527,-23.563402
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(1731633.25, 5602332.75]",10744,12.794893,0.029598,318,10426,1.153428,18.485488,40740.76801,0.0,0.696546,Strong,-2.774248,0.480834,-10.456682
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(5602332.75, 16665522.0]",10442,12.435246,0.082264,859,9583,3.115705,16.990833,40740.76801,0.0,0.696546,Strong,-1.696218,0.235352,-5.118199
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(16665522.0, 30277129.0]",6578,7.833657,0.172089,1132,5446,4.105912,9.655857,40740.76801,0.0,0.696546,Strong,-0.855137,0.04746,-1.032102
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(30277129.0, 49977852.0]",5837,6.951209,0.285935,1669,4168,6.053682,7.38994,40740.76801,0.0,0.696546,Strong,-0.199453,0.002665,-0.05796
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(49977852.0, 75399148.0]",5126,6.104488,0.471713,2418,2708,8.770403,4.801333,40740.76801,0.0,0.696546,Strong,0.602489,0.023913,0.520039
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(75399148.0, 122473140.0]",5896,7.021472,0.58616,3456,2440,12.535365,4.326164,40740.76801,0.0,0.696546,Strong,1.063872,0.087335,1.899279
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(122473140.0, 185479400.0]",4467,5.319694,0.68368,3054,1413,11.077258,2.505275,40740.76801,0.0,0.696546,Strong,1.486496,0.127422,2.771044
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(185479400.0, 358035744.0]",6040,7.192959,0.770033,4651,1389,16.869786,2.462722,40740.76801,0.0,0.696546,Strong,1.924257,0.277229,6.028884
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,AVG_AMT_LCL_D0,AVG_AMT_LCL_D0,"(358035744.0, inf]",11344,13.509426,0.862835,9788,1556,35.502358,2.758816,40740.76801,0.0,0.696546,Strong,2.554797,0.836531,18.192004
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,Missing,690,0.821712,0.007246,5,685,0.018136,1.214517,40307.198616,0.0,0.69283,Strong,-4.204222,0.050299,-1.224537
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(-inf, 171340.797]",10642,12.673423,0.026029,277,10365,1.004715,18.377334,40307.198616,0.0,0.69283,Strong,-2.906414,0.50492,-12.292472
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(171340.797, 1533833.0]",14027,16.704577,0.050403,707,13320,2.564382,23.616603,40307.198616,0.0,0.69283,Strong,-2.220233,0.467408,-11.379231
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(1533833.0, 7209136.0]",13728,16.348501,0.09528,1308,12420,4.744287,22.020886,40307.198616,0.0,0.69283,Strong,-1.53505,0.265204,-6.456503
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(7209136.0, 21362364.0]",8958,10.667969,0.1785,1599,7359,5.799782,13.047641,40307.198616,0.0,0.69283,Strong,-0.810787,0.058765,-1.430649
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(21362364.0, 48394254.0]",7383,8.792321,0.286604,2116,5267,7.675009,9.338487,40307.198616,0.0,0.69283,Strong,-0.196175,0.003263,-0.079447
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(48394254.0, 79479544.0]",4799,5.715068,0.556991,2673,2126,9.695321,3.769437,40307.198616,0.0,0.69283,Strong,0.944718,0.055983,1.362924
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(79479544.0, 143404536.0]",5603,6.672542,0.677673,3797,1806,13.772216,3.202071,40307.198616,0.0,0.69283,Strong,1.458855,0.154203,3.754134
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(143404536.0, 416100592.0]",8394,9.996308,0.790684,6637,1757,24.073268,3.115193,40307.198616,0.0,0.69283,Strong,2.044811,0.428553,10.433285
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,ACTUAL_BAL_LCL_CASA_D0,ACTUAL_BAL_LCL_CASA_D0,"(416100592.0, 1038714976.0]",4886,5.818675,0.872288,4262,624,15.458832,1.106363,40307.198616,0.0,0.69283,Strong,2.637102,0.378489,9.214464
